name,price,mrp,rating,url
"Chanak Premium Metal Die-Cast Sports Racer Metal Car with Realistic Engine Sound, LED Lights, Open & Close Doors, Pull Back Car Zinc Alloy for Kids Above 3 Years, BIS Approved (Black)",399,₹999,3.5 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2ODExMDIzNzAzODIwNTQyOjE3Njc2MTg1ODc6c3BfcGhvbmVfc2VhcmNoX2F0ZjozMDA1NzAxMDUwMjk5MzI6OjA6Og&url=%2FChanak-Premium-Die-Cast-Realistic-Approved%2Fdp%2FB0CMJ7T5J2%2Fref%3Dmp_s_a_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI%26dib_tag%3Dse%26keywords%3Dtoy%2Bcars%26qid%3D1767618587%26sr%3D8-1-spons%26aref%3DHj5quJY3HO%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&aref=Hj5quJY3HO&sp_cr=ZAZ
"Wembley Metal Die Cast BMW Toy Car for Kids | 1:32 Scale Diecast Model Car Toy Vehicle with Openable Doors, Light & Engine Sound | Pull Back Action Realistic Collectibles Boys Toys",799,"₹1,699",4.5 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2ODExMDIzNzAzODIwNTQyOjE3Njc2MTg1ODc6c3BfcGhvbmVfc2VhcmNoX2F0ZjozMDA4MTMxMTkyMjM0MzI6OjA6Og&url=%2FWembley-Pull-Back-Die-cast-Model%2Fdp%2FB0D94GHLNQ%2Fref%3Dmp_s_a_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI%26dib_tag%3Dse%26keywords%3Dtoy%2Bcars%26qid%3D1767618587%26sr%3D8-2-spons%26aref%3DkcM5pscMZ8%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&aref=kcM5pscMZ8&sp_cr=ZAZ
GRAPHENE 1:32 Scale DieCast Metal Pull Back Action Openable Doors 4x4 Thar/Jeep Premium Car Toy with Lights and Music for Kids Realistic Miniature Model Gift 2+yrs Girls Boys Random Colors,319,₹999,3.9 out of 5 stars,https://amazon.in/GRAPHENE-Pull-Back-Realistic-Miniature-Multicolor/dp/B0DFY9YY73/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-3
GRAPHENE 1:32 Scale Rolls Royac Phantom Car Pull Back Action Vehicles Diecast Exclusive Zinc Alloy Metal Toy Model Car with Openable Door and Sound Light Gifts Toys for Kids Toddlers,329,₹999,3.9 out of 5 stars,https://amazon.in/GRAPHENE-Vehicles-Exclusive-Openable-Toddlers/dp/B0FDB9RHBQ/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-4
"Galaxy Hi-Tech Mini Metal Die Cast Car Toy Vehicle Play Set, Free Wheel High Speed Unbreakable, Small Racing Movie Vehicle Car for Exciting Playtime Adventures for Kid, Multicolor, Set of 6",333,"₹1,999",4.1 out of 5 stars,https://amazon.in/Galaxy-Hi-Tech-Unbreakable-Adventures-Multicolor/dp/B0D5B81RCT/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-5
"Pull Back Cars Set, 48 Pieces Alloy Racing Car Toys, Metal Trucks Toy Vehicles, for Kids Ages 3-8, Party Favors","1,699","₹4,999",,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2ODExMDIzNzAzODIwNTQyOjE3Njc2MTg1ODc6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA4NzUyNTQxMTM3MzI6OjA6Og&url=%2FSQURY-Pieces-Racing-Trucks-Vehicles%2Fdp%2FB0G71N9TFG%2Fref%3Dmp_s_a_1_6_sspa%3Fdib%3DeyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI%26dib_tag%3Dse%26keywords%3Dtoy%2Bcars%26qid%3D1767618587%26sr%3D8-6-spons%26aref%3DuiL3OWczq3%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=uiL3OWczq3&sp_cr=ZAZ
"Vintage Die-Cast Car Model 1:32 Scale | Alloy Metal Car with Openable Doors, Hood & Trunk | LED Headlight & Taillight with Sound | Pull Back & Go Toy for Kids & Collectors (Black)",999,"₹1,469",5.0 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2ODExMDIzNzAzODIwNTQyOjE3Njc2MTg1ODc6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA4NzYxNDk4Mzg5MzI6OjA6Og&url=%2FHAPPY-CHAPPIE-Headlight-Taillight-Collectors%2Fdp%2FB0G5PV1NHQ%2Fref%3Dmp_s_a_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI%26dib_tag%3Dse%26keywords%3Dtoy%2Bcars%26qid%3D1767618587%26sr%3D8-7-spons%26aref%3DXtEKdcb5dp%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=XtEKdcb5dp&sp_cr=ZAZ
"Amitasha 10 Unbreakable Racing Mini Diecast Car Models Set for Kids Pull Back Vehicles Metal Alloy Car Play Set for Kids, Unique Toys, Best Birthday Gift, Diwali Gift, Khilona for Boys(Racing Cars)",249,₹999,3.7 out of 5 stars,https://amazon.in/Amitasha-Unbreakable-Diecast-Vehicles-Birthday/dp/B0D6GPHJYL/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-8
"Krasa Centy Plastic Toys Ambassador Car, Multi Color - Kids",209,₹232,4.0 out of 5 stars,https://amazon.in/Centy-Toys-CT-074-Ambassador-Car/dp/B00ET0TU4E/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-9
GRAPHENE 4WD Friction Powered Monster Truck Toy Push & Go Off-Road Car for Kids Amazing 360° Stunts All-Terrain Grip Vibrant Colors for Boys Girls Birthday Christmas Fun Play,64,₹199,3.9 out of 5 stars,https://amazon.in/GRAPHENE-Friction-Off-Road-All-Terrain-Christmas/dp/B0CDSBQ9FH/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.OJ5PURluPSfMRxByV5g_YYoaqL76sdsfwGHWvxnNA1Wi13TOEYFgxyM1w1FfOf5Sr1_126dLoId-3gnGDxZDptZOPeKo8gacD4qCHwFTrByaCVih4AFiUeVbMBSKKTFp4UUNM0xbtpVKxbYZcQhjcAkTRjmfaGJBtVF0cULp-NwKEGHuXrGJme9eK4vra5f3_Q1TNhBGPsBkHp7JN-IXxA.ilQKBDbvzQMjnLcxU1R1lDU-Z7Yu6ldJyXDElTasEPI&dib_tag=se&keywords=toy+cars&qid=1767618587&sr=8-10
