name,price,mrp,rating,url
"Tata Premium Instant Coffee, 90g/100g Pouch, 100% Pure Coffee, With Flavour Locked Decoction Crystals, Rich Aroma & Great Taste",330,₹330,4.3 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MToyODA2NjY0NjI2MDk4OTI4OjE3Njc2MjAwNjA6c3BfcGhvbmVfc2VhcmNoX2F0ZjoyMDA5OTM2NzM2NDA5ODo6MDo6&url=%2FTata-Coffee-Grand-Decoction-Crystals%2Fdp%2FB0BHZ3GH9J%2Fref%3Dmp_s_a_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ%26dib_tag%3Dse%26keywords%3Dcoffee%2Bpowder%26qid%3D1767620060%26sr%3D8-1-spons%26aref%3DerPK0MyD4R%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&aref=erPK0MyD4R&sp_cr=ZAZ
"Tata Coffee Grand Premium Instant Coffee, 50g Pouch, With Flavour Locked Decoction Crystals, Flavoured Soluble Coffee Powder, Rich Aroma & Great Taste",179,₹358,4.2 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MToyODA2NjY0NjI2MDk4OTI4OjE3Njc2MjAwNjA6c3BfcGhvbmVfc2VhcmNoX2F0ZjoyMDA5OTM2NzM2NDI5ODo6MDo6&url=%2FTata-Coffee-Grand-Decoction-Crystals%2Fdp%2FB0BHZ487F8%2Fref%3Dmp_s_a_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ%26dib_tag%3Dse%26keywords%3Dcoffee%2Bpowder%26qid%3D1767620060%26sr%3D8-2-spons%26aref%3D1BqWMjx7AM%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&aref=1BqWMjx7AM&sp_cr=ZAZ
"Continental Strong Instant Coffee Powder | 1 Kg Bag | Instant Coffee with Bold Flavor | Rich Aroma | Perfect for Espresso, Cappuccino, and Black Coffee Lovers | Makes Up To 1000 Cups",749,₹74.90,4.2 out of 5 stars,https://amazon.in/Continental-Strong-Coffee-Powder-1Kg/dp/B06Y637CX6/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-3
NESCAFE Classic Instant Coffee Powder | Great start to your morning | 100% Pure Coffee | 90g Jar,359,₹398.89,4.5 out of 5 stars,https://amazon.in/Nescaf%C3%A9-Classic-Coffee-100g-Glass/dp/B00VK0FTP0/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-4
Bru Instant | Aromatic Coffee From South Indian Plantations | Premium Blend of Robusta & Arabica Beans For a Rich Coffee Experience | 200g,354,₹177,4.4 out of 5 stars,https://amazon.in/Bru-Instant-Coffee-200g/dp/B00649B4EM/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-5
Continental Speciale Instant Coffee | Premium Arabica Blend | 100% Pure Coffee | Smooth & Rich Instant Coffee | Medium Roast | No Added Flavors | 100g Jar,309,₹309,4.3 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MToyODA2NjY0NjI2MDk4OTI4OjE3Njc2MjAwNjA6c3BfcGhvbmVfc2VhcmNoX210ZjozMDAzNDY4Njk0MDI4MzI6OjA6Og&url=%2FCONTINENTAL-SPECIALE-Coffee-Instant-Powder%2Fdp%2FB0D3L9GP1H%2Fref%3Dmp_s_a_1_6_sspa%3Fdib%3DeyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ%26dib_tag%3Dse%26keywords%3Dcoffee%2Bpowder%26qid%3D1767620060%26sr%3D8-6-spons%26aref%3Dl8Q3nOEih0%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=l8Q3nOEih0&sp_cr=ZAZ
CONTINENTAL XTRA Coffe | 100g Jar | 70% Coffee - 30% Chicory Blend | Medium Roast | Strongest Instant Coffee Powder | South Indian Coffee | Chunky Granules,229,₹229,4.3 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MToyODA2NjY0NjI2MDk4OTI4OjE3Njc2MjAwNjA6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA4NDM4MDc0MTkyMzI6OjA6Og&url=%2FContinental-Instant-Coffee-Powder-100gm%2Fdp%2FB09QYMXZL1%2Fref%3Dmp_s_a_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ%26dib_tag%3Dse%26keywords%3Dcoffee%2Bpowder%26qid%3D1767620060%26sr%3D8-7-spons%26aref%3DY9BLURKOii%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=Y9BLURKOii&sp_cr=ZAZ
Nescafe Classic Instant Coffee Powder | Great start to your morning | 100% Pure Coffee | 45g Jar,206,₹206,4.4 out of 5 stars,https://amazon.in/NESCAFE-Classic-Instant-Robusta-Roasted/dp/B01C5IX1PA/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-8
"Sunrise Instant Coffee Powder|Strong Taste For The Perfect Start To Your Day|Coffee Chicory-Mix|190g /200g, Stabilo Pack, Bag",374,₹196.84,4.4 out of 5 stars,https://amazon.in/Nescaf%C3%A9-NESCAFE-SUNRISE-Instant-Coffee-Chicory/dp/B00VJYYJ80/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-9
Continental Coffee Xtra Instant Coffee Powder | 200g Pouch | ‎70% Coffee 30% Chicory | South Blend Instant Coffee | Medium Roast | Premium Blend of Arabica & Robusta | Rich Aromatic Coffee,349,₹174.50,4.4 out of 5 stars,https://amazon.in/Continental-Coffee-Xtra-Instant-Powder/dp/B01N0AO8RI/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.g1VgRDPZsXijxaZs907ybhHXmaxr2z5I2-uf0_UfQBSiIrTseSeQ9___6EM9NKaAILA6-cmDV4WlgTwye-MQJtekWKESq0xNKHskuXTJ3vgCS1xrzRumI_UoK6UqmAryy3OXWsX7wJ3MYLGHm0wnCuv5jAPxfw6EfAuw1eBE3eXS9i2SX841MRDGndWhVRdUUPauM1Qv_-wLUmwyi97crQ.eHuvDDi34qg-FIG_duqs9ks0WNQuSncEeDsTmt7bZPQ&dib_tag=se&keywords=coffee+powder&qid=1767620060&sr=8-10
